## [BeGaze]
## Converted from:	F:\SMI-A\Datapluseyetrack\Participant 1-[1a9076ea-ef2c-4c0b-bd9d-37769ae604b9]\Participant 1-1-unified.smi
## Date:	04.11.2015 16:29:07
## Version:	BeGaze 3.6.40
## IDF Version:	10
## Sample Rate:	60
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	2949
## Reversed:	none
## [Run]
## Subject:	Participant 1
## Description:	Run1
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	, RIGHT
##
Time	Type	Trial	B POR X [px]	B POR Y [px]
373989894	SMP	1	734.49	552.67	
374006752	SMP	1	732.00	552.19	
374023416	SMP	1	731.29	553.81	
374040139	SMP	1	731.31	556.88	
374056760	SMP	1	732.21	554.87	
374072831	SMP	1	730.86	552.20	
374089575	SMP	1	732.66	556.04	
374106279	SMP	1	732.66	557.60	
374122651	SMP	1	733.95	556.81	
374139545	SMP	1	732.41	555.58	
374155975	SMP	1	733.61	555.28	
374172514	SMP	1	731.61	555.77	
374189562	SMP	1	734.00	556.24	
374205658	SMP	1	732.05	554.96	
374222326	SMP	1	733.06	555.27	
374238939	SMP	1	732.83	555.90	
374255656	SMP	1	732.75	556.13	
374272531	SMP	1	731.84	556.07	
374288639	SMP	1	733.71	555.45	
374305437	SMP	1	732.59	552.66	
374321902	SMP	1	733.42	553.52	
374338310	SMP	1	731.50	555.90	
374355658	SMP	1	731.42	557.02	
374371673	SMP	1	732.03	556.39	
374388362	SMP	1	730.92	557.96	
374404840	SMP	1	731.56	558.03	
374421883	SMP	1	730.59	557.85	
374438356	SMP	1	730.29	558.40	
374454571	SMP	1	728.03	557.10	
374471802	SMP	1	728.23	555.28	
374487788	SMP	1	726.72	556.59	
374505100	SMP	1	728.10	555.33	
374521328	SMP	1	727.90	555.90	
374537638	SMP	1	727.77	555.69	
374554250	SMP	1	727.99	554.59	
374570792	SMP	1	728.31	555.39	
374587802	SMP	1	727.55	556.35	
374604026	SMP	1	726.93	554.85	
374620543	SMP	1	727.48	556.93	
374637659	SMP	1	726.71	554.66	
374653688	SMP	1	726.33	555.30	
374670615	SMP	1	726.76	554.34	
374687573	SMP	1	726.56	557.01	
374703531	SMP	1	724.71	557.15	
374720386	SMP	1	724.18	555.98	
374736744	SMP	1	723.05	555.93	
374753564	SMP	1	723.09	556.93	
374770004	SMP	1	722.93	557.29	
374786507	SMP	1	721.76	557.76	
374803553	SMP	1	722.20	557.84	
374819701	SMP	1	722.63	558.00	
374836766	SMP	1	723.33	557.13	
374853186	SMP	1	723.17	556.92	
374869511	SMP	1	723.40	558.43	
374886047	SMP	1	722.82	557.70	
374902695	SMP	1	723.08	557.60	
374919677	SMP	1	723.36	557.66	
374936467	SMP	1	724.02	556.55	
374952431	SMP	1	724.28	557.39	
374969402	SMP	1	723.71	558.22	
374985774	SMP	1	723.88	555.92	
375002671	SMP	1	724.02	558.13	
375019428	SMP	1	723.13	557.22	
375035410	SMP	1	724.66	558.00	
375052069	SMP	1	723.62	557.72	
375068807	SMP	1	723.32	557.94	
375085225	SMP	1	723.01	558.77	
375102119	SMP	1	723.00	559.21	
375118555	SMP	1	722.80	558.32	
375135216	SMP	1	722.45	559.90	
375151875	SMP	1	721.90	560.16	
375168402	SMP	1	721.43	560.88	
375185076	SMP	1	721.92	560.86	
375201546	SMP	1	720.86	559.66	
375218097	SMP	1	721.64	559.50	
375234639	SMP	1	720.27	561.71	
375251611	SMP	1	719.65	562.26	
375268171	SMP	1	718.49	562.14	
375284541	SMP	1	718.73	562.81	
375300963	SMP	1	717.73	564.83	
375317523	SMP	1	717.58	565.00	
375334582	SMP	1	716.87	565.16	
375351406	SMP	1	720.89	565.00	
375367298	SMP	1	718.55	564.36	
375384181	SMP	1	718.21	565.80	
375400667	SMP	1	718.38	565.20	
375417377	SMP	1	718.73	565.96	
375434066	SMP	1	719.43	564.73	
375450425	SMP	1	715.89	566.15	
375467163	SMP	1	715.29	567.70	
375483576	SMP	1	715.57	566.92	
375500372	SMP	1	715.29	567.03	
375517294	SMP	1	715.66	568.26	
375533468	SMP	1	716.19	567.84	
375550476	SMP	1	714.85	569.58	
375566722	SMP	1	716.23	569.78	
375583382	SMP	1	713.58	561.10	
375600418	SMP	1	692.56	539.46	
375616484	SMP	1	694.20	537.54	
375633377	SMP	1	694.08	535.92	
375649598	SMP	1	693.78	536.37	
375666461	SMP	1	693.08	535.76	
375682962	SMP	1	693.09	535.66	
375699642	SMP	1	694.15	533.78	
375715914	SMP	1	691.14	534.30	
375732463	SMP	1	695.33	533.79	
375749551	SMP	1	691.16	533.60	
375765889	SMP	1	691.46	531.06	
375782401	SMP	1	692.03	531.35	
375798815	SMP	1	691.65	530.83	
375815606	SMP	1	684.44	526.51	
375832071	SMP	1	679.32	523.79	
375848675	SMP	1	680.34	525.03	
375865122	SMP	1	678.93	522.57	
375881755	SMP	1	679.37	522.38	
375898427	SMP	1	679.55	521.84	
375915081	SMP	1	678.30	520.52	
375931682	SMP	1	679.22	519.78	
375948054	SMP	1	678.62	519.10	
375964974	SMP	1	680.07	520.67	
375981366	SMP	1	680.53	521.33	
375997843	SMP	1	679.56	518.82	
376014699	SMP	1	680.32	518.28	
376031063	SMP	1	680.06	517.10	
376047770	SMP	1	680.30	516.17	
376064316	SMP	1	678.96	515.29	
376080849	SMP	1	680.99	518.76	
376097719	SMP	1	683.92	522.80	
376114063	SMP	1	681.80	522.84	
376130854	SMP	1	682.37	520.51	
376147570	SMP	1	683.42	520.35	
376164088	SMP	1	683.04	522.20	
376180453	SMP	1	687.40	521.36	
376197061	SMP	1	686.34	520.36	
376214149	SMP	1	687.38	518.49	
376230584	SMP	1	686.13	516.45	
376246952	SMP	1	686.01	514.82	
376263960	SMP	1	684.93	514.75	
376280040	SMP	1	684.16	514.94	
376296743	SMP	1	688.88	516.40	
376313936	SMP	1	686.94	515.85	
376330150	SMP	1	684.80	512.69	
376346908	SMP	1	687.43	514.39	
376363188	SMP	1	688.46	515.56	
